02/02/17 11:30:58
[squeue] Information about jobs located in the Slurm's scheduling queue
             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
             21037   cluster r1i1n2Ma     root PD       0:00      1 (Resources)
             21080   cluster r1i1n10M     root PD       0:00      1 (Resources)
             21068   cluster r1i1n4Ma     root PD       0:00      1 (Resources)
             21098   cluster r1i1n12M     root PD       0:00      1 (Resources)
             21096   cluster r1i3n3Ma     root PD       0:00      1 (Resources)
             21097   cluster r1i3n16M     root PD       0:00      1 (Resources)
             21092   cluster r1i3n0Ma     root PD       0:00      1 (Resources)
             21095   cluster r1i0n16M     root PD       0:00      1 (Resources)
             21090   cluster r1i2n1Ma     root PD       0:00      1 (Resources)
             21056   cluster r1i2n15M     root PD       0:00      1 (Resources)
             21041   cluster r1i0n2Ma     root PD       0:00      1 (Resources)
             21059   cluster r1i0n9Ma     root PD       0:00      1 (Resources)
             21091   cluster r1i2n0Ma     root PD       0:00      1 (Resources)
             21302   cluster  sat24p3 jldcarva PD       0:00      1 (Resources)
             21305   cluster  sat25p3 jldcarva PD       0:00      1 (Priority)
             21304   cluster  sat25p2 jldcarva PD       0:00      1 (Priority)
             21303   cluster  sat25p1 jldcarva PD       0:00      1 (Priority)
             21308   cluster  sat30p3 jldcarva PD       0:00      1 (Priority)
             21307   cluster  sat30p2 jldcarva PD       0:00      1 (Priority)
             21306   cluster  sat30p1 jldcarva PD       0:00      1 (Priority)
             21283   cluster  GeN_npt rmtromer PD       0:00      1 (Priority)
             21282   cluster  GeB_npt rmtromer PD       0:00      1 (Priority)
             21281   cluster plano12_ rmtromer PD       0:00      1 (Priority)
             21280   cluster plano11_ rmtromer PD       0:00      1 (Priority)
             21279   cluster plsno6_n rmtromer PD       0:00      1 (Priority)
             21278   cluster plano5_n rmtromer PD       0:00      1 (Priority)
             21277   cluster plano4_n rmtromer PD       0:00      1 (Priority)
             21289   cluster 641_1280 sddcunha PD       0:00      1 (Priority)
             21288   cluster 641_1280 sddcunha PD       0:00      1 (Priority)
             21287   cluster 641_1280 sddcunha PD       0:00      1 (Priority)
             21292   cluster Hubbard_ rmtromer PD       0:00      1 (Priority)
             21309   cluster   lammps lfcperei PD       0:00      4 (Priority)
             21301   cluster  sat24p2 jldcarva  R    1:31:44      1 r1i0n1
             21300   cluster  sat24p1 jldcarva  R    2:11:43      1 service4
             21299   cluster  sat10p3 jldcarva  R    2:40:38      1 r1i2n3
             21298   cluster  sat10p2 jldcarva  R    4:23:59      1 r1i1n3
             21297   cluster  sat10p1 jldcarva  R    5:36:22      1 r1i2n2
             21296   cluster   sat1p3 jldcarva  R    6:30:43      1 r1i1n1
